feature_id,water,wet,bs,pv,npv,pc_missing,date
r1wjrvqgz,0.935533384497314,0.0180353031465848,0.0085341519570222,0.0182463545663852,0.019113584036838,0.0,1986-08-26T23:36:37Z
r1wjrvqgz,0.9401381427475056,0.0195702225633154,0.0077091327705295,0.0115963161933998,0.0205640828856485,0.0,1987-07-12T23:40:32Z
r1wjrvqgz,,,,,,1.0,1987-08-22T23:35:29Z
r1wjrvqgz,,,,,,1.0,1987-09-23T23:36:17Z
r1wjrvqgz,0.9351496546431312,0.0165003837298541,0.007321565617805,0.017344589409056,0.0231273983115886,0.0,1987-09-30T23:42:37Z
r1wjrvqgz,,,,,,1.0,1987-10-09T23:36:36Z
r1wjrvqgz,,,,,,1.0,1987-10-25T23:36:51Z
r1wjrvqgz,,,,,,1.0,1987-11-10T23:37:13Z
r1wjrvqgz,0.930928626247122,0.0249424405218726,0.0056600153491941,0.0152302379125095,0.0227359938603223,0.0,1987-11-17T23:43:32Z
r1wjrvqgz,,,,,,1.0,1987-11-26T23:37:31Z
r1wjrvqgz,0.9159631619339984,0.0153491941673062,0.019025326170376,0.0152340752110514,0.0339831158864159,0.0,1987-12-03T23:43:47Z
r1wjrvqgz,,,,,,1.0,1987-12-12T23:37:44Z
r1wjrvqgz,0.9366845740598618,0.0218726016884113,0.0066462010744435,0.0128434382194934,0.0214927091327705,0.0,1987-12-19T23:44:01Z
r1wjrvqgz,,,,,,1.0,1987-12-28T23:38:00Z
r1wjrvqgz,0.9374520337682272,0.0149654643131235,0.0075633154259401,0.0152762854950115,0.0242632386799693,0.0,1988-01-04T23:44:17Z
r1wjrvqgz,0.929777436684574,0.0180353031465848,0.0145855717574827,0.0173983115886415,0.0196124328472755,0.0,1988-01-20T23:44:35Z
r1wjrvqgz,,,,,,1.0,1988-01-29T23:38:35Z
r1wjrvqgz,0.8846473029045643,0.029460580912863,0.024701244813278,0.0165933609958506,0.0442697095435684,0.0752110514198004,1988-02-05T23:44:53Z
r1wjrvqgz,,,,,,1.0,1988-02-14T23:38:51Z
r1wjrvqgz,0.9366845740598618,0.021105141980046,0.0087643898695318,0.0134842670759785,0.0194973138910207,0.0,1988-02-21T23:45:07Z
r1wjrvqgz,,,,,,1.0,1988-03-01T23:39:01Z
r1wjrvqgz,0.9392059553349876,0.0198511166253101,0.0088709677419354,0.0134408602150537,0.0182092638544251,0.0721412125863392,1988-03-08T23:45:17Z
r1wjrvqgz,,,,,,1.0,1988-03-17T23:39:10Z
r1wjrvqgz,,,,,,1.0,1988-04-02T23:39:17Z
r1wjrvqgz,0.930928626247122,0.0214888718342287,0.0105564082885648,0.0161511895625479,0.0204105909439754,0.0,1988-04-09T23:45:30Z
r1wjrvqgz,,,,,,1.0,1988-04-18T23:39:22Z
r1wjrvqgz,0.9390088945362136,0.0216010165184243,0.0070775095298602,0.0152562473528166,0.0167174925878864,0.0940138142747505,1988-06-12T23:45:58Z
r1wjrvqgz,,,,,,1.0,1988-06-21T23:39:50Z
r1wjrvqgz,0.9447429009976976,0.032233307751343,0.0039639293937068,0.0106254796623177,0.0081427475057559,0.0,1988-07-14T23:46:06Z
r1wjrvqgz,0.967741935483871,0.0161290322580645,0.0088709677419354,0.007258064516129,0.0,0.9762087490406752,1988-07-30T23:46:09Z
r1wjrvqgz,,,,,,1.0,1988-08-08T23:39:56Z
r1wjrvqgz,0.9574059861857253,0.0264773599386032,0.002785878741366,0.0070529547198772,0.0060706062931696,0.0,1988-08-15T23:46:08Z
r1wjrvqgz,,,,,,1.0,1988-08-24T23:40:01Z
r1wjrvqgz,0.8915384615384615,0.0423076923076923,0.0213846153846153,0.0211692307692307,0.0231,0.0023023791250958,1988-08-31T23:46:12Z
r1wjrvqgz,,,,,,1.0,1988-09-25T23:39:54Z
r1wjrvqgz,0.6108709079678815,0.1167387276096355,0.1599752933909821,0.0708709079678814,0.0400617665225447,0.3787413660782809,1988-10-02T23:46:03Z
r1wjrvqgz,,,,,,1.0,1988-10-11T23:39:48Z
r1wjrvqgz,,,,,,1.0,1988-10-27T23:39:47Z
r1wjrvqgz,,,,,,1.0,1988-11-12T23:39:49Z
r1wjrvqgz,,,,,,1.0,1988-11-19T23:46:00Z
r1wjrvqgz,0.9328472755180351,0.0253261703760552,0.0092287029930928,0.0155871066768994,0.016481197237145,0.0,1988-12-05T23:45:54Z
r1wjrvqgz,,,,,,1.0,1988-12-14T23:39:35Z
r1wjrvqgz,0.8770491803278688,0.0147540983606557,0.0331967213114754,0.029311475409836,0.0451803278688524,0.7659247889485802,1988-12-21T23:45:43Z
r1wjrvqgz,,,,,,1.0,1989-01-15T23:39:21Z
r1wjrvqgz,0.9270353302611368,0.0241935483870967,0.0099807987711213,0.0192626728110599,0.0189400921658986,0.0007674597083653,1989-01-22T23:45:22Z
r1wjrvqgz,,,,,,1.0,1989-01-31T23:39:16Z
r1wjrvqgz,0.2962962962962963,0.25,0.2688888888888889,0.044537037037037,0.1372222222222222,0.9585571757482731,1989-02-07T23:45:25Z
r1wjrvqgz,0.0,1.0,0.0,0.0,0.0,0.9996162701458172,1989-02-16T23:39:12Z
r1wjrvqgz,0.9290099769762088,0.0191864927091327,0.0112624712202609,0.0176899462778204,0.0221949347659247,0.0,1989-02-23T23:45:16Z
r1wjrvqgz,,,,,,1.0,1989-03-04T23:38:54Z
r1wjrvqgz,0.9278587874136608,0.0214888718342287,0.0134305448963929,0.0178204144282425,0.0188679969301611,0.0,1989-03-27T23:44:22Z
r1wjrvqgz,0.8113207547169812,0.0943396226415094,0.0184905660377358,0.0357075471698113,0.0393396226415094,0.9186492709132772,1989-04-28T23:44:13Z
r1wjrvqgz,,,,,,1.0,1989-05-07T23:37:57Z
r1wjrvqgz,0.927475057559478,0.022256331542594,0.0089792785878741,0.0208902532617037,0.0198042977743668,0.0,1989-05-30T23:43:43Z
r1wjrvqgz,0.9301611665387568,0.019953952417498,0.0098618572524942,0.0171105141980046,0.0222217958557175,0.0,1989-07-01T23:43:04Z
r1wjrvqgz,,,,,,1.0,1989-07-10T23:36:42Z
r1wjrvqgz,0.935533384497314,0.0153491941673062,0.0106638526477359,0.0172524942440521,0.0205218726016884,0.0,1989-07-17T23:42:44Z
r1wjrvqgz,,,,,,1.0,1989-07-26T23:36:23Z
r1wjrvqgz,,,,,,1.0,1989-08-11T23:36:01Z
r1wjrvqgz,,,,,,1.0,1989-08-27T23:35:42Z
r1wjrvqgz,0.9159631619339984,0.0272448196469685,0.0099424405218726,0.0186799693016116,0.0274942440521872,0.0,1989-09-03T23:41:43Z
r1wjrvqgz,0.8724961479198767,0.0350539291217257,0.0327812018489984,0.0275770416024653,0.0312788906009245,0.0038372985418265,1989-09-19T23:41:11Z
r1wjrvqgz,,,,,,1.0,1989-09-28T23:34:57Z
r1wjrvqgz,0.9082885648503454,0.0306983883346124,0.0102801227935533,0.0223407521105141,0.0276669224865694,0.0,1989-10-05T23:41:01Z
r1wjrvqgz,0.9101123595505618,0.0144462279293739,0.0133386837881219,0.0160032102728731,0.0454788657035848,0.282808902532617,1989-11-22T23:39:23Z
r1wjrvqgz,,,,,,1.0,1989-12-01T23:33:05Z
r1wjrvqgz,0.928626247122026,0.019953952417498,0.0091519570222563,0.0151036070606293,0.0266078280890253,0.0,1989-12-08T23:39:02Z
r1wjrvqgz,0.9466357308584686,0.0146945088940448,0.0103944315545243,0.0103712296983758,0.0174091260634184,0.5038372985418266,1989-12-24T23:38:36Z
r1wjrvqgz,0.7700854700854701,0.0675213675213675,0.0686153846153846,0.0264102564102564,0.0665811965811965,0.5510360706062931,1990-02-10T23:37:03Z
r1wjrvqgz,,,,,,1.0,1990-03-07T23:30:01Z
r1wjrvqgz,0.959489872468117,0.0150037509377344,0.0049512378094523,0.0088297074268567,0.0114253563390847,0.4884881043745203,1990-03-23T23:29:29Z
r1wjrvqgz,0.9082885648503454,0.0326170376055257,0.0116845740598618,0.0211742133537989,0.0255947812739831,0.0,1990-03-30T23:35:29Z
r1wjrvqgz,,,,,,1.0,1990-04-08T23:29:22Z
r1wjrvqgz,0.919800460475825,0.0264773599386032,0.0112739831158864,0.0194320798158096,0.0223637759017651,0.0,1990-04-15T23:35:39Z
r1wjrvqgz,,,,,,1.0,1990-04-24T23:29:28Z
r1wjrvqgz,,,,,,1.0,1990-05-01T23:35:30Z
r1wjrvqgz,0.5,0.1111111111111111,0.2038888888888889,0.0827777777777777,0.1016666666666666,0.9930928626247122,1990-05-10T23:29:28Z
r1wjrvqgz,0.9194167306216424,0.0260936300844205,0.0071603990790483,0.022874136607828,0.0237643898695318,0.0,1990-05-17T23:35:40Z
r1wjrvqgz,0.9228702993092862,0.0337682271680736,0.0064773599386032,0.0176055257099002,0.0187260168841135,0.0,1990-06-02T23:35:35Z
r1wjrvqgz,0.9251726784343822,0.0349194167306216,0.005617805065234,0.0169723714504988,0.016792018419033,0.0,1990-06-18T23:35:34Z
r1wjrvqgz,,,,,,1.0,1990-06-27T23:29:23Z
r1wjrvqgz,0.9386032233307752,0.0283960092095165,0.00792018419033,0.0112471220260936,0.01336147352264,0.0,1990-07-20T23:35:28Z
r1wjrvqgz,,,,,,1.0,1990-07-29T23:29:16Z
r1wjrvqgz,0.7723214285714286,0.1383928571428571,0.0536830357142857,0.0196428571428571,0.0155133928571428,0.8280890253261703,1990-08-05T23:35:25Z
r1wjrvqgz,0.9424307036247336,0.0543710021321961,0.0002985074626865,0.0014285714285714,0.0014392324093816,0.6400613967766693,1990-08-21T23:35:20Z
r1wjrvqgz,,,,,,1.0,1990-08-30T23:29:05Z
r1wjrvqgz,0.9178818112049116,0.0203376822716807,0.0065809669992325,0.0222371450498848,0.0323062164236377,0.0,1990-09-06T23:35:13Z
r1wjrvqgz,,,,,,1.0,1990-09-15T23:29:04Z
r1wjrvqgz,0.9247889485801996,0.0195702225633154,0.0084382194934765,0.0183384497313891,0.028273215656178,0.0,1990-09-22T23:35:11Z
r1wjrvqgz,,,,,,1.0,1990-10-01T23:28:51Z
r1wjrvqgz,0.9324635456638528,0.0203376822716807,0.0070069071373752,0.0156446661550268,0.0240291634689178,0.0,1990-10-08T23:35:00Z
r1wjrvqgz,,,,,,1.0,1990-10-17T23:28:46Z
