feature_id,water,wet,bs,pv,npv,pc_missing,date
r1wjqrqbm,0.0,0.0,0.1449522031366691,0.3515690814040328,0.4910134428678118,0.0,1986-08-26T23:36:37Z
r1wjqrqbm,0.3300224047796863,0.0271844660194174,0.0518424197162061,0.3007535474234503,0.2824981329350261,0.0,1987-07-12T23:40:32Z
r1wjqrqbm,0.5351008215085885,0.0978342046303211,0.0511516056758775,0.1304846900672143,0.1808588498879761,0.0,1987-09-30T23:42:37Z
r1wjqrqbm,0.5299477221807319,0.0345033607169529,0.0566497386109036,0.1352935026138909,0.2381971620612397,0.0,1987-11-17T23:43:32Z
r1wjqrqbm,0.1148618371919342,0.2485436893203883,0.1930052277819268,0.1605123226288275,0.2768200149365198,0.0,1987-12-03T23:43:47Z
r1wjqrqbm,0.4821508588498879,0.0134428678117998,0.0541456310679611,0.1620664675130694,0.2819477221807319,0.0,1987-12-19T23:44:01Z
r1wjqrqbm,0.4584764749813294,0.0163554891710231,0.0544973861090365,0.1913076923076923,0.2729768483943241,0.0,1988-01-04T23:44:17Z
r1wjqrqbm,0.4306945481702763,0.008588498879761,0.111471994025392,0.1996034353995519,0.2424428678117998,0.0,1988-01-20T23:44:35Z
r1wjqrqbm,0.2605337876206701,0.0519023282226007,0.074763202725724,0.280923339011925,0.3240874503123225,0.342419716206124,1988-02-05T23:44:53Z
r1wjqrqbm,0.3394324122479462,0.0180731889469753,0.0848058252427184,0.2340612397311426,0.3156833457804331,0.0,1988-02-21T23:45:07Z
r1wjqrqbm,0.2519942262402188,0.0278052115779077,0.1230882017777102,0.2396581326445339,0.3488186583605561,0.0169529499626587,1988-03-08T23:45:17Z
r1wjqrqbm,0.1529499626587005,0.0325616131441374,0.0697976101568334,0.2947348767737117,0.4410403286034354,0.0,1988-04-09T23:45:30Z
r1wjqrqbm,0.0,0.0,0.1922627737226277,0.4692700729927008,0.3270802919708029,0.9897684839432412,1988-06-12T23:45:58Z
r1wjqrqbm,,,,,,1.0,1988-06-21T23:39:50Z
r1wjqrqbm,0.511799850634802,0.1961165048543689,0.0237386109036594,0.1577528005974607,0.1066191187453323,0.0,1988-07-14T23:46:06Z
r1wjqrqbm,0.7659574468085106,0.2127659574468085,0.0102659574468085,0.0086170212765957,0.0022872340425531,0.9859596713965646,1988-07-30T23:46:09Z
r1wjqrqbm,0.6631814787154593,0.1020911127707244,0.0261321882001493,0.1109178491411501,0.0945011202389843,0.0,1988-08-15T23:46:08Z
r1wjqrqbm,,,,,,1.0,1988-08-24T23:40:01Z
r1wjqrqbm,0.6094100074682599,0.0962658700522778,0.0446026885735623,0.1236938013442868,0.1221926811053024,0.0,1988-08-31T23:46:12Z
r1wjqrqbm,0.5084745762711864,0.2087052452111122,0.1441841339885668,0.0905134891184434,0.0459301975729615,0.2553398058252427,1988-10-02T23:46:03Z
r1wjqrqbm,,,,,,1.0,1988-11-19T23:46:00Z
r1wjqrqbm,0.5601941747572815,0.0440627333831217,0.0367318894697535,0.1840761762509335,0.1696377893950709,0.0,1988-12-05T23:45:54Z
r1wjqrqbm,0.581995745503771,0.0642042158189905,0.0746480371301489,0.1337342873718816,0.140919551344034,0.2276325616131441,1988-12-21T23:45:43Z
r1wjqrqbm,0.4526512322628827,0.0203136669156086,0.0517005227781926,0.2418513816280806,0.2263778939507095,0.0,1989-01-22T23:45:22Z
r1wjqrqbm,0.0043956043956043,0.0395604395604395,0.257956043956044,0.1685714285714285,0.5182417582417582,0.9660194174757282,1989-02-07T23:45:25Z
r1wjqrqbm,,,,,,1.0,1989-02-16T23:39:12Z
r1wjqrqbm,0.3830328420737637,0.0098750654597142,0.0755674422084237,0.258826961921149,0.2642440338146181,0.0017176997759521,1989-02-23T23:45:16Z
r1wjqrqbm,0.311277072442121,0.022404779686333,0.0699693801344286,0.3008155339805825,0.2866153846153846,0.0,1989-03-27T23:44:22Z
r1wjqrqbm,0.0,0.0,0.1990936329588015,0.528808988764045,0.2587415730337078,0.9002987303958178,1989-04-28T23:44:13Z
r1wjqrqbm,0.4272591486183719,0.1439133681852128,0.0252688573562359,0.2401882001493651,0.1573778939507094,0.0,1989-05-30T23:43:43Z
r1wjqrqbm,0.607916355489171,0.3295743091859596,0.0050201643017177,0.039252427184466,0.0173435399551904,0.0,1989-07-01T23:43:04Z
r1wjqrqbm,0.5310679611650485,0.3440627333831217,0.0080089619118745,0.0791740104555638,0.0358386855862584,0.0,1989-07-17T23:42:44Z
r1wjqrqbm,0.676923076923077,0.137042569081404,0.020386855862584,0.1062165795369678,0.0566601941747572,0.0,1989-09-03T23:41:43Z
r1wjqrqbm,0.722554144884242,0.0674383868558625,0.0249895444361463,0.1202270351008215,0.0616923076923076,0.0,1989-09-19T23:41:11Z
