feature_id,water,wet,bs,pv,npv,pc_missing,date
r1wm1z1wu,0.9779735682819384,0.0220264317180616,0.0,0.0,0.0,0.912557781201849,1986-08-19T23:30:42Z
r1wm1z1wu,0.9487673343605548,0.0188751926040061,0.0049114021571648,0.0092141756548536,0.0178543913713405,0.0,1986-08-26T23:36:37Z
r1wm1z1wu,0.9333590138674884,0.0192604006163328,0.0077850539291217,0.0149922958397534,0.0240369799691833,0.0,1987-07-12T23:40:32Z
r1wm1z1wu,0.929506933744222,0.0215716486902927,0.0111209553158705,0.0141563944530046,0.0230546995377503,0.0,1987-08-22T23:35:29Z
r1wm1z1wu,0.9364406779661016,0.0188751926040061,0.0077927580893682,0.0142180277349768,0.0222303543913713,0.0,1987-09-23T23:36:17Z
r1wm1z1wu,0.9360554699537752,0.0200308166409861,0.0089869029275808,0.0144838212634822,0.019942218798151,0.0,1987-09-30T23:42:37Z
r1wm1z1wu,0.9302773497688752,0.023497688751926,0.007630970724191,0.0166718027734976,0.0214637904468412,0.0,1987-10-09T23:36:36Z
r1wm1z1wu,0.9333590138674884,0.0211864406779661,0.0058744221879815,0.0181972265023112,0.0209052388289676,0.0,1987-10-25T23:36:51Z
r1wm1z1wu,0.9134140870345446,0.0282637954239569,0.0104934948407357,0.0240197397936294,0.0231763122476446,0.1413713405238829,1987-11-10T23:37:13Z
r1wm1z1wu,0.9322033898305084,0.024653312788906,0.0058551617873651,0.018382126348228,0.0184013867488443,0.0,1987-11-17T23:43:32Z
r1wm1z1wu,0.8507992895204263,0.0230905861456483,0.0275310834813499,0.0497690941385435,0.0475488454706927,0.7831278890600925,1987-11-26T23:37:31Z
r1wm1z1wu,0.928351309707242,0.0154083204930662,0.0161864406779661,0.0178274268104776,0.0217180277349768,0.0,1987-12-03T23:43:47Z
r1wm1z1wu,0.938366718027735,0.0215716486902927,0.0057781201848998,0.0170916795069337,0.0166987673343605,0.0,1987-12-12T23:37:44Z
r1wm1z1wu,0.9352850539291218,0.0208012326656394,0.0045300462249614,0.0184090909090909,0.0204892141756548,0.0,1987-12-19T23:44:01Z
r1wm1z1wu,0.9352850539291218,0.023497688751926,0.004306625577812,0.0178428351309707,0.0186209553158705,0.0,1987-12-28T23:38:00Z
r1wm1z1wu,0.9391371340523884,0.0227272727272727,0.0045030816640986,0.0165600924499229,0.0166140215716486,0.0,1988-01-04T23:44:17Z
r1wm1z1wu,0.9379815100154084,0.0204160246533127,0.009133281972265,0.0180123266563944,0.0139676425269645,0.0,1988-01-20T23:44:35Z
r1wm1z1wu,0.8666666666666667,0.0196078431372549,0.031359477124183,0.0338431372549019,0.0476339869281045,0.7053158705701079,1988-01-29T23:38:35Z
r1wm1z1wu,0.9141355140186916,0.036214953271028,0.0052219626168224,0.0221728971962616,0.0216588785046728,0.3405238828967643,1988-02-05T23:44:53Z
r1wm1z1wu,0.927195685670262,0.0285053929121725,0.0074499229583975,0.0188058551617873,0.0175231124807395,0.0,1988-02-14T23:38:51Z
r1wm1z1wu,0.9375963020030816,0.023497688751926,0.005997688751926,0.0163828967642527,0.0160593220338983,0.0,1988-02-21T23:45:07Z
r1wm1z1wu,0.9318181818181818,0.0250385208012326,0.0074768875192604,0.0176964560862865,0.0174999999999999,0.0,1988-03-01T23:39:01Z
r1wm1z1wu,0.835236541598695,0.0587275693311582,0.054600326264274,0.0242251223491027,0.0264437194127243,0.7638674884437596,1988-03-08T23:45:17Z
r1wm1z1wu,0.9298921417565486,0.0304314329738058,0.0083397534668721,0.0162750385208012,0.014595531587057,0.0,1988-03-17T23:39:10Z
r1wm1z1wu,0.9229583975346688,0.0304314329738058,0.0057935285053929,0.019133281972265,0.0211748844375963,0.0,1988-04-02T23:39:17Z
r1wm1z1wu,0.9325885978428352,0.0281201848998459,0.0062750385208012,0.0162365177195685,0.0162326656394453,0.0,1988-04-09T23:45:30Z
r1wm1z1wu,,,,,,1.0,1988-04-18T23:39:22Z
r1wm1z1wu,0.930662557781202,0.0281201848998459,0.0051155624036979,0.0170069337442218,0.0186016949152542,0.0,1988-06-12T23:45:58Z
r1wm1z1wu,0.9345146379044684,0.0362095531587057,0.0054661016949152,0.0130392912172573,0.0103312788906009,0.0,1988-06-21T23:39:50Z
r1wm1z1wu,0.9352850539291218,0.0300462249614791,0.0059129429892141,0.0135785824345146,0.0146841294298921,0.0,1988-07-14T23:46:06Z
r1wm1z1wu,0.9418960244648318,0.0305810397553516,0.0027217125382262,0.0109378185524974,0.0135881753312945,0.6221109399075501,1988-07-30T23:46:09Z
r1wm1z1wu,0.9322033898305084,0.0265793528505392,0.0070184899845916,0.0162788906009245,0.0174191063174114,0.0,1988-08-08T23:39:56Z
r1wm1z1wu,0.9310477657935284,0.024653312788906,0.0069992295839753,0.0168952234206471,0.0198382126348228,0.0,1988-08-15T23:46:08Z
r1wm1z1wu,,,,,,1.0,1988-08-24T23:40:01Z
r1wm1z1wu,0.7727272727272727,0.1309090909090909,0.0549454545454545,0.0255272727272727,0.0152727272727272,0.788135593220339,1988-08-31T23:46:12Z
r1wm1z1wu,0.9252696456086288,0.0258089368258859,0.0109437596302003,0.0186556240369799,0.0186825885978428,0.0,1988-09-25T23:39:54Z
r1wm1z1wu,0.8691917219836002,0.0355329949238578,0.0302616165560328,0.037551737602499,0.026579461147989,0.0134822804314329,1988-10-02T23:46:03Z
r1wm1z1wu,,,,,,1.0,1988-10-11T23:39:48Z
r1wm1z1wu,0.927195685670262,0.0296610169491525,0.006879815100154,0.0178428351309707,0.017919876733436,0.0,1988-10-27T23:39:47Z
r1wm1z1wu,0.9221879815100154,0.0323574730354391,0.0071417565485362,0.0192912172573189,0.0185208012326656,0.0,1988-11-12T23:39:49Z
r1wm1z1wu,,,,,,1.0,1988-11-19T23:46:00Z
r1wm1z1wu,0.9387519260400616,0.0273497688751926,0.0052580893682588,0.0160130970724191,0.0121725731895223,0.0,1988-12-05T23:45:54Z
r1wm1z1wu,0.9287365177195686,0.0261941448382126,0.0093412942989214,0.0206124807395993,0.0145801232665639,0.0,1988-12-14T23:39:35Z
r1wm1z1wu,0.9348998459167952,0.022342064714946,0.0081240369799691,0.0205469953775038,0.0135747303543913,0.0,1988-12-21T23:45:43Z
r1wm1z1wu,,,,,,1.0,1989-01-15T23:39:21Z
r1wm1z1wu,0.9302773497688752,0.0327426810477657,0.0047534668721109,0.018151001540832,0.0135670261941448,0.0,1989-01-22T23:45:22Z
r1wm1z1wu,0.924884437596302,0.0323574730354391,0.0059129429892141,0.0201001540832049,0.0162018489984591,0.0,1989-01-31T23:39:16Z
