feature_id,date,water_median,wet_median,pv_median,npv_median,bs_median,count
r1wjpxg6j,1992-08-01,0.8103,0.0414,0.0463,0.0875,0.0118,31
r1wjpxg6j,1992-09-01,0.755,0.0467,0.0579,0.1086,0.0301,30
r1wjpxg6j,1992-10-01,0.4737,0.1458,0.071,0.1717,0.1349,31
r1wjpxg6j,1992-11-01,0.1924,0.2449,0.084,0.2349,0.2396,30
r1wjpxg6j,1992-12-01,0.455,0.1498,0.06,0.1751,0.1569,31
r1wjpxg6j,1993-01-01,0.8435,0.0076,0.0327,0.0901,0.0245,31
r1wjpxg6j,1993-02-01,0.8382,0.0125,0.0287,0.0883,0.0308,28
r1wjpxg6j,1993-03-01,0.8536,0.0099,0.0251,0.091,0.0195,31
r1wjpxg6j,1993-04-01,0.8335,0.0104,0.0262,0.1001,0.0279,30
r1wjpxg6j,1993-05-01,0.8404,0.0212,0.027,0.0954,0.0138,31
r1wjpxg6j,1993-06-01,0.8344,0.017,0.0286,0.1036,0.0151,30
r1wjpxg6j,1993-07-01,0.8225,0.0172,0.0318,0.101,0.0261,31
r1wjpxg6j,1993-08-01,0.8245,0.0168,0.0358,0.093,0.0285,31
r1wjpxg6j,1993-09-01,0.8369,0.0141,0.0396,0.0856,0.0223,30
r1wjpxg6j,1993-10-01,0.8462,0.0114,0.0419,0.0812,0.0174,31
r1wjpxg6j,1993-11-01,0.8374,0.0061,0.0305,0.1043,0.02,30
r1wjpxg6j,1993-12-01,0.8317,0.0064,0.0221,0.1041,0.035,31
r1wjpxg6j,1994-01-01,0.8027,0.006,0.0217,0.1348,0.0329,31
r1wjpxg6j,1994-02-01,0.7863,0.0056,0.0219,0.1505,0.0338,28
r1wjpxg6j,1994-03-01,0.7918,0.0079,0.0249,0.1366,0.0367,31
r1wjpxg6j,1994-04-01,0.7908,0.0115,0.0266,0.125,0.044,30
r1wjpxg6j,1994-05-01,0.7994,0.0151,0.0246,0.1269,0.0321,31
r1wjpxg6j,1994-06-01,0.8044,0.0175,0.0289,0.1246,0.0229,30
r1wjpxg6j,1994-07-01,0.8114,0.0177,0.0281,0.1228,0.0185,31
r1wjpxg6j,1994-08-01,0.8038,0.0115,0.0216,0.1315,0.03,31
r1wjpxg6j,1994-09-01,0.7987,0.0083,0.0191,0.138,0.0342,30
r1wjpxg6j,1994-10-01,0.8088,0.0125,0.0219,0.1344,0.0209,31
r1wjpxg6j,1994-11-01,0.7666,0.0112,0.0221,0.167,0.031,30
r1wjpxg6j,1994-12-01,0.7136,0.0095,0.0221,0.206,0.0469,31
r1wjpxg6j,1995-01-01,0.592,0.0209,0.0207,0.2995,0.0641,31
r1wjpxg6j,1995-02-01,0.5025,0.0318,0.0215,0.3685,0.0733,28
r1wjpxg6j,1995-03-01,0.53,0.0307,0.0314,0.3466,0.0586,31
r1wjpxg6j,1995-04-01,0.5642,0.0293,0.0417,0.3196,0.0429,30
r1wjpxg6j,1995-05-01,0.5984,0.0279,0.0519,0.2926,0.0273,31
r1wjpxg6j,1995-06-01,0.6601,0.029,0.0689,0.2147,0.0222,30
r1wjpxg6j,1995-07-01,0.7307,0.0428,0.0668,0.1363,0.0168,31
